标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
带小区 故宫小旁 南北通透 3房 三面采光 双阳台,468.0,61547,邮政宿舍(湖滨南路),思明,3,76,南北,1990,"['南北', '满五年', '近地铁']"
塘边地铁口 邮电局宿舍 精装三房 南北 全明户型 出价就卖,328.0,46858,塘边邮电局宿舍,湖里,3,70,南北,2000,"['南北', '近地铁']"
送独立露台 文灶BRT地铁口 南北全明精装3房 厅带阳台朝南,378.0,58705,厦门粮食集团油厂公寓,思明,3,64.4,南北,1999,"['南北', '满五年', '近地铁', '车位充足']"
集美新城 地铁口 南北通透 户型 精装修,420.0,37169,保利联发锦上,集美,3,113,南,,"['大户型', '购物中心', '高绿化率']"
禾祥西 新家园边 一梯两户 南北 花园式小区2房可改3房,658.0,67150,禾祥苑,思明,2,98,南北,1998,"['南北', '满五年', '近地铁']"
地铁口00年电梯3房 公园旁 南北双阳台 豪装看房方便,486.0,51078,南山公寓(东区),湖里,3,95.2,南北,2000,"['南北', '满五年', '近地铁', '车位充足']"
可改三房 小区中庭 门口 ，地铁 公园 芙蓉苑永升新城旁,320.0,41635,怡景花园,湖里,2,76.9,南北,1994,"['南北', '满二年', '近地铁']"
精装。近地铁！有而外折扣！包你满意！老总跟我是朋友！,410.0,33607,中海左岸澜庭,集美,4,122,南,,"['南北通透', '厨卫全明', '双卫生间', '轨交房']"
电梯高层精装修大三房湖里中心 湖里中学,450.0,45000,鹭辉大厦,湖里,3,100,南,2000,"['南', '热门小区', '近地铁', '稀缺户型']"
急售 万达旁，翔鹭花城三期 高装三房 厅带阳台 满五省税,370.0,46049,翔鹭花城三期,湖里,3,80.4,南北,2008,"['热门小区', '南北通透', '房东急售']"
正南 3室2厅 豪华装修,575.0,64709,宝龙中心(一期),思明,3,88.9,南,2000,"['南', '满二年', '近地铁', '车位充足']"
ins奶油风 复式3室2厅 动静分离 企业力荐,408.0,89809,官邸大厦,思明,3,45.4,南,2005,"['南', '满五年', '近地铁', '多人关注']"
翔安隧道口 2023年热盘 新房 专车接送,350.0,39326,保利中交雲上(新房),翔安,3,89,南,,[]
康乐一小 湖里中学 满五 精装2房 地铁口 随时看房 急,320.0,47662,万景花园,湖里,2,67.1,南,1997,"['南', '近地铁']"
保税区悦星园 精装2房 房东诚意出售价格空间很大 看房方便,328.0,47495,悦星园,湖里,2,69.1,东,2003,"['东', '满二年', '近地铁']"
