,quyu,home_num,size,chaoxiang,jianzao,tags,city
0,0,3,76.0,0,1990.0,1,0
1,1,3,70.0,0,2000.0,1,0
2,0,3,64.4,0,1999.0,1,0
4,0,2,98.0,0,1998.0,1,0
5,1,3,95.2,0,2000.0,1,0
6,1,2,76.9,0,1994.0,1,0
8,1,3,100.0,1,2000.0,1,0
9,1,3,80.4,0,2008.0,0,0
10,0,3,88.9,1,2000.0,1,0
11,0,3,45.4,1,2005.0,1,0
13,1,2,67.1,1,1997.0,1,0
14,1,2,69.1,2,2003.0,1,0
15,1,2,72.4,1,2002.0,1,0
17,0,4,129.6,0,1999.0,1,0
18,1,3,86.5,0,2000.0,1,0
19,1,3,131.0,3,1997.0,1,0
21,1,3,90.8,3,2002.0,1,0
22,1,3,113.4,4,2000.0,1,0
23,0,3,136.1,0,2004.0,0,0
24,1,3,102.5,0,2007.0,1,0
26,0,2,74.3,0,2000.0,1,0
27,1,2,72.2,0,2000.0,1,0
28,1,3,88.6,3,2006.0,1,0
30,0,3,137.2,0,2007.0,1,0
31,2,3,87.7,1,2009.0,0,0
32,0,3,137.9,0,2008.0,0,0
33,0,2,50.1,1,2000.0,1,0
35,2,4,96.7,1,2019.0,1,0
36,1,2,66.1,2,1996.0,1,0
37,0,3,95.7,1,1992.0,1,0
39,0,3,123.8,5,2001.0,1,0
40,0,2,62.4,0,2000.0,1,0
41,0,3,174.2,5,2010.0,1,0
43,0,3,91.3,5,1990.0,1,0
44,0,3,93.0,0,2000.0,1,0
45,0,3,124.0,0,2000.0,0,0
46,3,3,106.3,0,2018.0,0,0
48,0,3,88.1,0,1997.0,0,0
49,1,3,90.9,5,2003.0,1,0
50,0,3,82.3,0,2000.0,1,0
52,0,2,76.1,6,2003.0,1,0
53,0,2,72.9,6,2008.0,1,0
54,4,3,114.6,0,2016.0,1,0
55,0,3,89.5,5,2011.0,0,0
57,1,2,73.0,0,1999.0,1,0
58,0,2,95.0,1,2003.0,1,0
59,4,2,89.4,1,2011.0,0,0
61,0,3,69.2,6,1993.0,1,0
62,0,2,64.5,5,2000.0,1,0
63,0,1,59.0,1,2006.0,1,0
65,4,2,84.4,1,2002.0,1,0
66,0,3,101.0,3,1997.0,1,0
67,4,2,90.5,3,2000.0,1,0
68,2,3,89.3,1,2016.0,1,0
70,0,3,73.8,0,1993.0,1,0
71,5,3,89.7,0,2000.0,1,0
72,0,3,116.1,0,2000.0,1,0
74,0,4,550.6,3,2012.0,0,0
75,2,3,89.1,3,2010.0,1,0
76,1,3,88.0,0,2000.0,1,0
77,2,3,125.2,1,2015.0,1,0
78,0,3,105.7,0,2002.0,1,0
79,0,5,174.3,0,2015.0,1,0
80,2,3,88.0,0,2013.0,0,0
81,1,3,123.4,0,2005.0,1,0
82,0,3,101.4,7,2007.0,1,0
83,4,2,100.6,0,2016.0,1,0
84,1,3,122.6,1,2000.0,1,0
86,1,6,181.1,0,2007.0,1,0
87,1,3,75.4,1,2000.0,1,0
88,0,2,75.4,0,2000.0,0,0
89,1,2,71.0,0,1996.0,1,0
91,1,5,181.9,0,2000.0,1,0
92,3,3,107.2,0,2017.0,0,0
93,2,3,82.1,0,2019.0,0,0
94,4,2,81.8,0,2002.0,1,0
95,1,2,63.1,0,1996.0,1,0
96,0,3,118.7,0,2000.0,0,0
97,0,4,210.7,0,2002.0,1,0
98,1,3,102.6,0,1998.0,1,0
99,3,3,96.0,1,2016.0,0,0
100,0,3,115.5,0,2004.0,1,0
101,2,3,88.7,0,2016.0,1,0
102,0,1,58.3,1,2011.0,1,0
103,0,3,77.1,4,1996.0,1,0
104,0,1,57.1,8,2011.0,0,0
105,0,3,127.8,0,2001.0,1,0
107,0,4,179.8,4,2011.0,1,0
108,0,3,85.6,0,2002.0,1,0
109,4,2,97.8,2,2000.0,1,0
110,0,4,185.2,0,2007.0,1,0
111,5,2,72.7,0,2014.0,1,0
112,3,3,106.3,0,2019.0,0,0
113,5,3,89.0,0,2000.0,1,0
114,0,3,153.7,0,2009.0,1,0
115,2,4,125.1,0,2010.0,0,0
116,0,5,157.7,0,2000.0,1,0
117,2,3,89.1,3,2013.0,1,0
118,1,3,87.4,0,2000.0,1,0
120,1,4,111.0,0,1998.0,1,0
121,4,3,112.2,0,2006.0,1,0
122,0,3,82.0,3,2006.0,1,0
123,5,2,74.8,5,2015.0,0,0
125,0,3,86.4,0,1996.0,1,0
126,0,3,131.5,0,2000.0,1,0
127,0,4,156.1,3,2007.0,1,0
128,1,2,67.2,0,2000.0,1,0
129,2,4,128.4,1,2000.0,1,0
130,0,4,162.7,5,2006.0,1,0
132,0,3,62.3,0,1993.0,1,0
133,2,2,83.8,0,2007.0,1,0
135,4,3,91.6,1,2012.0,1,0
136,1,3,93.5,0,2002.0,1,0
137,0,4,146.1,7,1996.0,1,0
139,1,3,92.7,0,2005.0,1,0
140,0,6,188.7,0,2006.0,1,0
141,2,3,89.2,1,1998.0,1,0
142,0,2,60.0,0,2000.0,1,0
